,SMILES,HBA,HBD,MW,rotatable,TPSA,cLogP,fsp3,stereo,set
1,CC(C)N1CC[C@H](Cn2cc(-c3ccc(F)cc3)nn2)[C@H](Sc2ccccc2)C1,5,0,410.5620000000001,6,33.95,4.975400000000005,0.391304347826087,2,prior
2,CC(=O)c1ccc2c(c1)[nH]c1cc(/C=C/c3c(Cl)ccc(Cl)c3Cl)ccc12,1,1,414.7190000000001,3,32.86,7.654300000000003,0.045454545454545456,0,prior
3,CCn1c(-c2cccc(NC(=O)/C=C/C=C/c3ccccc3F)c2)nc2cc(OC)c(OC)c(OC)c21,6,1,501.5580000000003,9,74.61000000000001,6.096200000000005,0.1724137931034483,0,prior
4,C=CCOc1ccc(CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1,4,1,324.37600000000003,8,55.760000000000005,3.790600000000003,0.15,0,prior
5,O=C1O[C@H](Cc2ccccc2)CN1,2,1,177.203,2,38.33,1.3375,0.3,1,prior
6,CCC1(CC)Cc2c(/C=C/C(=O)N(CC)C(C)C)ccc3c4ccccc4n(c23)[C@@]1(C)O,3,1,432.6080000000001,6,45.47,6.092100000000007,0.4642857142857143,1,prior
7,CCS(=O)(=O)NC(=S)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7,3,469.9510000000002,6,105.24000000000001,3.810600000000001,0.16666666666666666,0,prior
10,O=C(c1cncnc1)c1cnccn1,5,0,186.174,2,68.63,0.4975999999999999,0.0,0,prior
11,Nc1ncc2c(n1)N(CCCCCN1CCCN(Cc3ccccc3)CC1)C(=O)C2,6,1,408.5500000000002,8,78.59,2.3260999999999994,0.5217391304347826,0,prior
12,CCCCCCCCCCCCCCC[N+](C)(C)CCCOc1cccc(CN)c1.[I-],2,1,546.6220000000002,20,35.25,4.0858000000000025,0.7777777777777778,0,prior
13,Cn1nnnc1SCC(=O)Nc1ccc2c(c1)OCO2,8,1,293.30800000000005,4,91.16000000000001,0.6695999999999993,0.2727272727272727,0,prior
14,O/N=C/c1cccn1-c1cccc(Cl)c1,3,1,220.65900000000002,2,37.52,2.9388000000000014,0.0,0,prior
15,OCc1cc([N+](=O)[O-])nc2cc(/C=C/Cc3ccc[nH]3)ccc12,4,2,309.325,5,92.05000000000001,3.2193000000000014,0.11764705882352941,0,prior
16,CCCCCn1c(=O)sc2nc(SCCOCC)nc(OCC(C)C)c21,8,0,399.5820000000002,12,66.24000000000001,4.2066000000000034,0.7222222222222222,0,prior
17,CCCCc1nc(Cl)c(C(=O)OCC)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)NC2CCCCC2)cc1,7,2,601.1689999999999,11,119.38999999999999,6.0917000000000066,0.43333333333333335,0,prior
18,CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCC[N+](C)(C)CC,4,0,449.65700000000027,23,58.59,6.845800000000008,1.0,1,prior
19,CCCCCCCCCCCCCCCCC(c1ccc(O)c(-c2ccc(Cn3ccnc3)cc2)c1)C(C)C,3,1,530.8410000000001,20,38.05,10.91499999999999,0.5833333333333334,1,prior
20,CC(C)(C)C1c2ccccc2CN1c1cccc(C#N)c1,2,0,276.383,1,27.03,4.6656800000000045,0.3157894736842105,1,prior
21,COc1ccc2c(c1)C1=NS(=O)(=O)CCC1C2C(F)(F)Cc1ccccc1,3,0,391.439,4,55.73,3.8092000000000033,0.35,2,prior
22,Cl.N=C(N)c1ccc2c(c1)CC1(CCN(c3nc(CN)no3)CC1)C2=O,7,3,376.8480000000002,3,135.12,1.2597699999999998,0.4117647058823529,0,prior
