,SMILES,HBA,HBD,MW,rotatable,TPSA,cLogP,fsp3,stereo,set
1,CC(C)CC(=O)N1CC[N+](C)(C)C[C@@]2(C(C)=O)CC[C@@H]2C1=O,3,0,309.43,3,54.45,1.4631,0.8235294117647058,2,prior
3,Br.O=C(CNc1ccccc1)NCCN1CCN(c2cccc(Cl)c2)CC1,4,2,453.81200000000035,7,47.61000000000001,3.268200000000002,0.35,0,prior
11,OCCCN(CCCN1CCCCC1)C(=O)Nc1ccc(Cl)cc1,3,2,353.894,8,55.81,3.4323000000000015,0.6111111111111112,0,prior
12,Cc1cc(C(OC)Cc2ccccc2I)ccc1Cl,1,0,386.6600000000001,4,9.23,5.183220000000004,0.25,1,prior
13,NC(=O)N/N=N/CC(O)COC(=O)c1ccccc1,6,3,266.257,6,126.37,0.23979999999999957,0.2727272727272727,1,prior
15,CCN1C(=O)N(C(=O)[C@@H]2CCCC[C@@H]2C)CCOC1=O,4,0,282.3399999999999,2,66.92000000000002,2.2333999999999996,0.7857142857142857,2,prior
20,Cc1ccc(NC(=O)c2nc3ccccc3[nH]c2=O)cc1,3,2,279.29900000000004,2,74.85,2.4838199999999997,0.0625,0,prior
21,COC(=O)/C=C\c1ccc(C(O)(c2ccccc2)N(Cc2ccccc2F)C(=O)N2CCOCC2)cc1,5,1,504.55800000000033,7,79.31,4.1597000000000035,0.2413793103448276,1,prior
22,NCC(Cc1ccc(C#N)cc1)N1CCc2c[nH]cc2C1,3,2,280.37500000000006,4,68.84,1.8144799999999996,0.35294117647058826,1,prior
23,CCOc1cn(C(=O)C(C)C)cc1-c1ccc2c(c1)OCOC(C)(C)C2,5,0,357.45000000000016,4,49.69,4.537600000000004,0.47619047619047616,0,prior
27,Cc1c[nH]cc1-c1nc(CN2CCC(NC(C)C)CC2)nc2c1CCN(Cc1cccnc1)OCC2,7,2,489.6680000000004,7,82.2,3.669920000000002,0.5357142857142857,0,prior
30,[N-]=C[C@@H](O)CC[C@]12CCCCC1c1nonc1[C@@]1(C)NC(=O)[C@@H]12,5,2,317.369,4,110.55000000000001,1.4697,0.75,5,prior
31,COC(=O)CNc1ccc(N2CCOCCN2)cc1,6,2,265.31299999999993,4,62.83,0.6126999999999998,0.46153846153846156,0,prior
32,CC(C)c1cccc(C)c1,0,0,134.22199999999998,1,0.0,3.1184200000000013,0.4,0,prior
