,SMILES,set,SMILES_canonical,novel
1,CCOC1CC(=O)c2cc(OC(C)=O)cc(NC(=O)OC(C)(C)C)c2O1,prior,CCOC1CC(=O)c2cc(OC(C)=O)cc(NC(=O)OC(C)(C)C)c2O1,1
2,CC1=C(CCC2=NCCN2CCCNC(=O)c2c(O)cccc2OC)c2cc(O)c(C)c(O)c21,prior,COc1cccc(O)c1C(=O)NCCCN1CCN=C1CCC1=C(C)c2c1cc(O)c(C)c2O,1
3,NC(=O)Nc1ccc2c(c1)CCN(Cc1ccc(F)cc1)CC2,prior,NC(=O)Nc1ccc2c(c1)CCN(Cc1ccc(F)cc1)CC2,1
4,FC1=NC[C@@H]2CNCC2C1=Nc1ccc(O)cc1,prior,Oc1ccc(N=C2C(F)=NC[C@@H]3CNCC23)cc1,1
6,CCCN(CC)CCCOC(=O)CC1CCN(C(=O)C2CCCC2)CC1,prior,CCCN(CC)CCCOC(=O)CC1CCN(C(=O)C2CCCC2)CC1,1
9,CCOC(=O)c1cc(Cl)ccc1NC(=O)c1ccccc1,prior,CCOC(=O)c1cc(Cl)ccc1NC(=O)c1ccccc1,1
10,Nc1nnc2cnn(C)nc2c1=O,prior,Cn1ncc2nnc(N)c(=O)c-2n1,1
11,CN(C)C1=NC(=O)Nc2ccccc21,prior,CN(C)c1nc(=O)[nH]c2ccccc12,1
12,Cc1cc(NC(=O)CCCCN(C)c2nc3ccsc3n2C)ccc1O,prior,Cc1cc(NC(=O)CCCCN(C)c2nc3ccsc3n2C)ccc1O,1
14,CC(C)(NC(=O)C(C)(C)c1cc(C(F)(F)F)ccc1F)[C@H](O)CC[C@H]1CC[C@H](O)[C@H]1O,prior,CC(C)(C(=O)NC(C)(C)[C@H](O)CC[C@H]1CC[C@H](O)[C@H]1O)c1cc(C(F)(F)F)ccc1F,1
15,CCCCN(Cc1ccc(Cl)cc1)C(=O)CC1=CC2C(C(C)=CC2=O)c2ccccc21,prior,CCCCN(Cc1ccc(Cl)cc1)C(=O)CC1=CC2C(=O)C=C(C)C2c2ccccc21,1
16,Fc1ccc(CCNc2cc(N)cc(-c3ncnc4ccccc34)c2)cc1,prior,Nc1cc(NCCc2ccc(F)cc2)cc(-c2ncnc3ccccc23)c1,1
17,N=C(S)NC1CCCCC1,prior,N=C(S)NC1CCCCC1,1
18,Cc1cccc(C2c3ccsc3C(=O)CC2)c1,prior,Cc1cccc(C2CCC(=O)c3sccc32)c1,1
19,N#Cc1cn(-c2ccccc2)c(C)c1C(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2C(O)C(F)(F)F)cc1,prior,Cc1c(C(=O)Nc2ccc(-c3ccc(C(F)(F)F)cc3C(O)C(F)(F)F)cc2)c(C#N)cn1-c1ccccc1,1
22,O=C(O)CCCc1ccc(-c2ccc(-c3noc(-c4ccc(OC)c(OC)c4)n3)cc2)cc1,prior,COc1ccc(-c2nc(-c3ccc(-c4ccc(CCCC(=O)O)cc4)cc3)no2)cc1OC,1
23,CC(C)Cc1ccc(NC(=O)C2(C)CCC2)nc1,prior,CC(C)Cc1ccc(NC(=O)C2(C)CCC2)nc1,1
24,O=C(O)Cc1ccc2c(c1)NC(=O)C(C)C2,prior,CC1Cc2ccc(CC(=O)O)cc2NC1=O,1
25,COc1cccc(NC2CCN(CC(=O)Nc3cc(F)ccc3C)CC2)c1,prior,COc1cccc(NC2CCN(CC(=O)Nc3cc(F)ccc3C)CC2)c1,1
26,COc1ccc(CN(Cc2ccc(Cl)cc2)C(=O)OCC)cc1,prior,CCOC(=O)N(Cc1ccc(Cl)cc1)Cc1ccc(OC)cc1,1
28,COCCN1CCC(C(=O)N2CCCC2)CC1,prior,COCCN1CCC(C(=O)N2CCCC2)CC1,1
29,O=C(O)C(CCCCCN(C)Cc1ccc(Cl)cc1)C(=O)O,prior,CN(CCCCCC(C(=O)O)C(=O)O)Cc1ccc(Cl)cc1,1
32,C[C@H]1CCCC(C(=O)C(=O)O)C1C(=O)O,prior,C[C@H]1CCCC(C(=O)C(=O)O)C1C(=O)O,1
33,Cc1cc(C(=O)NCCCCCC2CC(=O)N(O)C(O)C2)ccc1OC,prior,COc1ccc(C(=O)NCCCCCC2CC(=O)N(O)C(O)C2)cc1C,1
34,CCOC(=O)[C@@H](Nc1ccc(-c2ccc(F)cc2)cc1)C(=O)CCCOc1ccc(Cl)cc1,prior,CCOC(=O)[C@@H](Nc1ccc(-c2ccc(F)cc2)cc1)C(=O)CCCOc1ccc(Cl)cc1,1
35,CN(C(=O)OC(C)(C)C)C(C)c1ccc(Cl)nc1,prior,CC(c1ccc(Cl)nc1)N(C)C(=O)OC(C)(C)C,1
37,Cc1ccc(C2C(=O)c3ccccc3C2=O)c(F)c1,prior,Cc1ccc(C2C(=O)c3ccccc3C2=O)c(F)c1,1
38,COc1ccc(C2=C(c3cnccc3)CCN2C(=O)C(F)(F)F)cc1,prior,COc1ccc(C2=C(c3cccnc3)CCN2C(=O)C(F)(F)F)cc1,1
39,CCN(c1ccc(-c2nnnc3c2CCN(C2CCCCC3)CC2)cc1)c1ccc(OC)cc1,prior,CCN(c1ccc(OC)cc1)c1ccc(-c2nnnc3c2CCN2CCC2CCCCC3)cc1,1
41,O=C(O)CN(C(=O)c1ccccc1)CC1CCCC1,prior,O=C(O)CN(CC1CCCC1)C(=O)c1ccccc1,1
42,CN1CC(Cl)=C(Cc2ccc(Cl)cc2)CC1,prior,CN1CCC(Cc2ccc(Cl)cc2)=C(Cl)C1,1
