,SMILES,HBA,HBD,MW,rotatable,TPSA,cLogP,fsp3,stereo,set
0,Br,0,0,80.91199999999999,0,0.0,0.5779000000000001,0.0,0,prior
1,CCN(CCCCNC(=O)c1cc(-c2ccc(O)cc2)nc2ccccc12)c1ccc(Cl)cc1,4,2,474.00400000000013,9,65.46000000000001,6.297300000000006,0.21428571428571427,0,prior
2,OC(Cc1ccccc1)NCc1ccc(-c2cc(Oc3ccccc3)ccn2)cc1,4,2,396.49,8,54.379999999999995,5.191600000000005,0.11538461538461539,1,prior
4,CC(=O)NC(C)Cc1ccccc1,1,1,177.247,3,29.1,1.7537,0.36363636363636365,1,prior
5,CCCCCCCCCN(CCCCCCC)C(=O)c1ccc(Oc2ccc(Cl)cn2)c(N)c1,4,1,488.1160000000001,17,68.45,8.27270000000001,0.5714285714285714,0,prior
6,Cc1nc2cc3nc(C)nc(N)c3c(=O)n2c2cc([C@@H](C)NC(=O)c3cncnc3C#N)ccc12,10,2,465.47700000000015,3,164.83999999999995,2.14262,0.16666666666666666,1,prior
7,CC(C)CCN1C(=O)c2cc(O)cc(CC/N=C3\SC(=O)N(Cc4ccccc4)C3=O)c2NC1=O,8,2,494.5730000000002,8,124.82999999999998,3.278100000000001,0.32,0,prior
8,O=C(NO)Nc1nnc(Cc2ccc3ccccc3c2)s1,5,3,300.343,3,87.14,2.7928000000000006,0.07142857142857142,0,prior
9,COc1cccc([C@@H]2CC3SC(N)=NC3=NO2)c1,6,1,263.322,2,69.2,1.9002,0.3333333333333333,2,prior
10,N#CC(C#N)=C/NCc1ccc(O)c(I)c1,4,2,325.10900000000004,3,79.84,2.01746,0.09090909090909091,0,prior
11,NC(=O)[C@]1(c2ccc(F)cc2)C[C@@H](c2ccccc2F)OC1=O,3,1,317.29100000000005,3,69.39000000000001,2.3761,0.17647058823529413,2,prior
12,NC(=O)c1cccc(-c2cccc(C(=O)N3[C@H](C(=O)O)[C@@H](CCO)[C@H]3c3cccc[n+]3[O-])c2)c1,5,3,461.47400000000016,7,147.87,1.7347999999999997,0.2,3,prior
13,C[C@@H]1CC(=O)N(c2ccc(C(C)(C)C)cc2)C(=O)N1Sc1cc(OCc2ccccn2)ccc1SCC(=O)O,7,1,565.7170000000002,9,100.04,6.389300000000007,0.3103448275862069,1,prior
14,Nc1ccc(CNc2cc(N3Cc4c(F)cccc4C3=O)nn2Cc2ccno2)c(C(F)(F)F)c1,7,2,486.42900000000014,6,102.21000000000001,4.432000000000003,0.17391304347826086,0,prior
15,O=C1C(=O)c2ccc(CCC3CCC3)cc2/C1=C/c1ccc(O)c(O)c1,4,2,348.398,4,74.60000000000001,4.136500000000004,0.2727272727272727,0,prior
16,Br.CN1c2ccccc2N(c2ccccc2)C1=O,3,0,305.17500000000007,1,26.93,2.9071000000000016,0.07142857142857142,0,prior
17,C/C(=N\NC(=O)Nc1ccc(C)cc1)c1ccc2c(c1)oc(=O)n2C,5,2,338.3670000000001,3,88.63,2.9856200000000017,0.16666666666666666,0,prior
18,CC(C)(C)c1[nH]nc(CN2CCCCC2)c1C#N,3,1,246.35799999999992,2,55.71,2.5647800000000007,0.7142857142857143,0,prior
19,COc1cc(SC)c2nccc(OC[C@@H](O)CN3CCCO3)c2c1,7,1,350.44000000000017,7,64.05,2.3423,0.47058823529411764,1,prior
20,CC(=O)c1ccc(NC(=O)Nc2ccccc2NC(=O)Cc2ccsc2)cc1,4,3,393.46800000000013,6,87.30000000000001,4.775900000000003,0.09523809523809523,0,prior
21,O=C(Nc1ccccc1)c1cc2ccccc2n1S(=O)(=O)c1ccc(NC(=O)CCCc2cccnc2)cc1,6,2,538.6290000000004,9,110.16000000000001,5.487000000000004,0.1,0,prior
22,ClC(Cl)=N/CN1C(CN2CCCC2)=NC1c1ccccc1,4,0,325.243,5,31.2,3.286200000000002,0.4666666666666667,1,prior
23,CCc1cc(C(C)C)no1,2,0,139.19799999999998,2,26.03,2.3604000000000003,0.625,0,prior
24,CCCCCCCCCCCCCCCC(O)CN(C)CCCCCCCCC,2,1,411.7590000000003,24,23.47,8.511000000000006,1.0,1,prior
25,O=c1cc(NCc2ccccc2)[nH]c2cc(Cl)c(Cl)c(Cl)c12,2,2,353.63600000000014,3,44.89,5.100400000000001,0.0625,0,prior
26,CCOc1ccc(-c2ccc(-c3nnn(C4CCCCC4)n3)c(C)c2)cc1,5,0,362.4770000000001,5,52.830000000000005,5.219420000000005,0.4090909090909091,0,prior
27,CN1C(=O)C(=O)C(CC(=O)Nc2ccc(S(=O)(=O)NC(=O)CC[S+]([O-])CCC(=O)OCC(N)=O)cc2)C1=O,11,3,572.5740000000004,13,239.23999999999998,-2.4385999999999948,0.38095238095238093,2,prior
28,Cc1c2n(c(=O)oc1=O)CNc1cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc1-2,11,5,408.3630000000001,3,163.62,-1.661379999999999,0.4444444444444444,5,prior
30,CC1(C)OCC=C(C(O)(C(F)(F)F)C(F)(F)F)C1=O,3,1,292.175,1,46.53,2.1464000000000003,0.7,0,prior
31,COc1ccc(-c2cccc3c2OC(=O)CC3c2ccc(/C=N/CCc3ccccc3)c(Cl)c2)cc1OC,5,0,526.0320000000003,8,57.120000000000005,7.1268000000000065,0.1875,1,prior
32,COc1ccc(-c2nc(NC(C)C)c(-c3cccc(OC)c3)s2)cc1,5,1,354.4750000000001,6,43.379999999999995,5.314600000000004,0.25,0,prior
33,CCCC(NC(=O)OCc1ccccc1)C(=O)NCCc1ccc(OC)cc1,4,2,384.47600000000017,10,76.66,3.4490000000000025,0.36363636363636365,1,prior
34,Clc1cc(N(CCCc2ncnn2CC2CC2)P(=O)(O)O)ccc1O,5,3,386.77600000000007,8,111.71000000000001,2.579000000000002,0.4666666666666667,0,prior
35,C[C@@H]1CN(c2c(C#N)cnc3nc(N)nc(N)c23)CCCO1,8,2,299.338,1,126.97,0.6760799999999998,0.42857142857142855,1,prior
36,S=C(NN1CCN(Cc2ccc(F)cc2)CC1)Oc1ccccc1,4,1,345.44300000000004,4,27.74,2.8118000000000007,0.2777777777777778,0,prior
37,Cc1ccc2nc(N3CCOCC3)sc2c1,4,0,234.32399999999998,1,25.360000000000003,2.44132,0.4166666666666667,0,prior
